category,keyword,monthly_volume,cpc_usd,competition_level,competition_index,score
Other,"eenadu",7480000,0.21,LOW,0.00,7480000
General Telugu News,"telugu news",368000,0.33,,0.00,368000
Cricket / Sports,"live cricket match today india",301000,0.01,LOW,0.00,301000
Cinema - Telugu,"telugu cinema news",60500,0.00,,0.00,60500
Politics - AP,"pawan kalyan news",1300,0.00,,0.00,1300
District - Kurnool/Nandyal,"kurnool news",6600,0.00,,0.00,6600
District - Anantapur/SSS,"anantapur news",720,0.00,,0.00,720
District - Chittoor/Tirupati,"tirupati news",2400,0.00,,0.00,2400
District - Kadapa/Annamayya,"kadapa news",720,0.00,,0.00,720
Other,"tupaki",550000,0.00,LOW,0.00,550000
General Telugu News,"telugu news latest",110000,0.00,LOW,0.00,110000
Cricket / Sports,"icc cricket live today",246000,0.12,LOW,0.00,246000
Cinema - Telugu,"tollywood news",60500,0.00,LOW,0.00,60500
Politics - AP,"chandrababu naidu news",880,0.00,,0.00,880
District - Kurnool/Nandyal,"kurnool weather today",5400,0.00,,0.00,5400
District - Anantapur/SSS,"anantapuram news",720,0.00,,0.00,720
District - Chittoor/Tirupati,"chittoor news",590,0.00,,0.00,590
Other,"gulte",368000,0.00,LOW,0.00,368000
General Telugu News,"telugu news today",74000,0.00,,0.00,74000
Cricket / Sports,"live cricket match today online",49500,0.03,LOW,0.03,38077
Cinema - Telugu,"telugu cinema news in telugu",27100,0.00,LOW,0.00,27100
Politics - AP,"tdp news",320,0.00,,0.00,320
District - Kurnool/Nandyal,"nandyal news",320,0.00,,0.00,320
District - Anantapur/SSS,"anantapur gold rate today",590,0.01,,0.00,590
Other,"oneindia telugu",246000,0.84,LOW,0.00,246000
General Telugu News,"breaking news telugu",27100,0.00,,0.00,27100
Cricket / Sports,"live cricket tv",60500,0.01,LOW,0.20,20167
Cinema - Telugu,"123 telugu movie review",22200,0.00,LOW,0.00,22200
Politics - AP,"ysrcp news",260,0.00,,0.00,260
Other,"eenadu news paper today",201000,0.00,LOW,0.00,201000
General Telugu News,"tv9 telugu news today live",14800,0.00,LOW,0.00,14800
Cricket / Sports,"telugu sports news",9900,0.00,LOW,0.00,9900
Cinema - Telugu,"tupaki telugu movie reviews",3600,0.00,LOW,0.00,3600
Politics - AP,"jagan mohan reddy news",210,0.00,,0.00,210
Other,"tupaki telugu",60500,0.00,LOW,0.00,60500
General Telugu News,"tupaki telugu news",9900,0.00,LOW,0.00,9900
Cricket / Sports,"telugu cricket news",8100,0.00,,0.00,8100
Cinema - Telugu,"greatandhra telugu movie review",2900,0.00,LOW,0.00,2900
Other,"gulte telugu",49500,0.00,LOW,0.00,49500
General Telugu News,"tv5 telugu news live",9900,0.00,LOW,0.00,9900
Cricket / Sports,"eenadu sports news",5400,0.00,LOW,0.00,5400
Cinema - Telugu,"greatandhra telugu film news",1600,0.00,LOW,0.00,1600
Other,"tv9 news live",40500,0.00,LOW,0.00,40500
General Telugu News,"telugu news today live",3600,0.00,LOW,0.00,3600
Cricket / Sports,"telugu sports news today",2900,0.00,LOW,0.00,2900
Cinema - Telugu,"greatandhra telugu movie news",1600,0.00,LOW,0.00,1600
Other,"tv9 news",40500,0.02,LOW,0.00,40500
General Telugu News,"telugu news live today",3600,0.00,LOW,0.00,3600
Cricket / Sports,"today sports news in telugu",2900,0.00,LOW,0.00,2900
Other,"eenadu district news paper",27100,0.00,LOW,0.00,27100
General Telugu News,"tv9 telugu news today",3600,0.00,LOW,0.00,3600
Cricket / Sports,"hotstar cricket live free",3600,0.02,LOW,0.03,2769
Other,"today news in telugu paper",27100,0.00,LOW,0.00,27100
General Telugu News,"తెలుగు వార్తలు",2400,0.09,,0.00,2400
Cricket / Sports,"telugu cricket live",480,0.10,LOW,0.01,436
Other,"ntv telugu live",18100,0.00,LOW,0.00,18100
General Telugu News,"telugu news greatandhra",1300,0.00,LOW,0.00,1300
Cricket / Sports,"telugu cricket news today",390,0.00,LOW,0.00,390
